Title,Type,Application,MLTech,OpenReviewLink
Augmenting Physical Models with Deep Networks for Complex Dynamics Forecasting,Poster,Physics,,https://openreview.net/forum?id=kmG8vRXTFv
BERTology Meets Biology: Interpreting Attention in Protein Language Models,Poster,Biology,Language_Model,https://openreview.net/forum?id=YWtLZvLmud7
Conformation-Guided Molecular Representation with Hamiltonian Neural Networks,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=q-cnWaaoUTH
Fourier Neural Operator for Parametric Partial Differential Equations,Poster,Math,Neural_Operator,https://openreview.net/forum?id=c8P9NQVtmnO
Generalization in data-driven models of primary visual cortex,Poster,Neuroscience,Representation_Learning ,https://openreview.net/forum?id=Tp7kI90Htd
Identifying Physical Law of Hamiltonian Systems via Meta-Learning,Poster,Physics,,https://openreview.net/forum?id=45NZvF1UHam
Intrinsic-Extrinsic Convolution and Pooling for Learning on 3D Protein Structures,Poster,Biology,,https://openreview.net/forum?id=l0mSUROpwY
Large Associative Memory Problem in Neurobiology and Machine Learning,Poster,Neuroscience,,https://openreview.net/forum?id=X4y_10OX-hX
Learning continuous-time PDEs from sparse data with graph neural networks,Poster,Math,Graph_Neural_Network,https://openreview.net/forum?id=aUX5Plaq7Oy
Learning from Protein Structure with Geometric Vector Perceptrons,Poster,Biology,Graph_Neural_Network,https://openreview.net/forum?id=1YLJDvSx6J4
"Learning Incompressible Fluid Dynamics from Scratch - Towards Fast, Differentiable Fluid Models that Generalize",Poster,Physics,,https://openreview.net/forum?id=KUDUoRsEphu
Learning Neural Generative Dynamics for Molecular Conformation Generation,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=pAbm1qfheGk
LowKey: Leveraging Adversarial Attacks to Protect Social Media Users from Facial Recognition,Poster,Social_Science,,https://openreview.net/forum?id=hJmtwocEqzc
MARS: Markov Molecular Sampling for Multi-objective Drug Discovery,Poster,Chemistry,,https://openreview.net/forum?id=kHSu4ebxFXY
Molecule Optimization by Explainable Evolution,Poster,Chemistry,Optimization,https://openreview.net/forum?id=jHefDGsorp5
Multi-resolution modeling of a discrete stochastic process identifies causes of cancer,Poster,Biology,,https://openreview.net/forum?id=KtH8W3S_RE
Neural Mechanics: Symmetry and Broken Conservation Laws in Deep Learning Dynamics,Poster,Physics,,https://openreview.net/forum?id=q8qLAbQBupm
Neural representation and generation for RNA secondary structures,Poster,Biology,Generative_Model,https://openreview.net/forum?id=snOgiCYZgJ7
PDE-Driven Spatiotemporal Disentanglement,Poster,Biology,Representation_Learning ,https://openreview.net/forum?id=vLaHRtHvfFp
PlasticineLab: A Soft-Body Manipulation Benchmark with Differentiable Physics,Poster,Physics,,https://openreview.net/forum?id=xCcdBRQEDW
Practical Massively Parallel Monte-Carlo Tree Search Applied to Molecular Design,Poster,Chemistry,,https://openreview.net/forum?id=6k7VdojAIK
ResNet After All: Neural ODEs and Their Numerical Solution,Poster,Math,,https://openreview.net/forum?id=HxzSxSxLOJZ
Symmetry-Aware Actor-Critic for 3D Molecular Design,Poster,Chemistry,Reinforcement_Learning,https://openreview.net/forum?id=jEYKjPE1xYN
Unsupervised Discovery of 3D Physical Objects,Poster,Physics,,https://openreview.net/forum?id=lf7st0bJIA5
