Title,Conference,Type,Application,MLTech,OpenReviewLink
$\mathcal{O}$-GNN: incorporating ring priors into molecular modeling,ICLR_2023,Poster,Chemistry,Graph_Neural_Network ,https://openreview.net/forum?id=vsMyHUq_C1c
3D Equivariant Diffusion for Target-Aware Molecule Generation and Affinity Prediction,ICLR_2023,Poster,Chemistry,,https://openreview.net/forum?id=kJqXEPXMsE0
Actionable Neural Representations: Grid Cells from Minimal Constraints,ICLR_2023,Poster,Neurosciences,,https://openreview.net/forum?id=xfqDe72zh41
A Self-Attention Ansatz for Ab-initio Quantum Chemistry,ICLR_2023,Poster,Chemistry,Neural_Network,https://openreview.net/forum?id=xveTeHVlF7j
A Stable and Scalable Method for Solving Initial Value PDEs with Neural Networks,ICLR_2023,Poster,Math,Neural_Network,https://openreview.net/forum?id=vsMyHUq_C1c
Bi-level Physics-Informed Neural Networks for PDE Constrained Optimization using Broyden's Hypergradients,ICLR_2023,Poster,Math,Optimization,https://openreview.net/forum?id=kkpL4zUXtiw
Clifford Neural Layers for PDE Modeling,ICLR_2023,Poster,Math,,https://openreview.net/forum?id=okwxL_c4x84
Compressing multidimensional weather and climate data into neural networks,ICLR_2023,Poster,Earth_Sciences,Neural_Network,https://openreview.net/forum?id=Y5SEe3dfniJ
Context-enriched molecule representations improve few-shot drug discovery,ICLR_2023,Poster,Medical_Sciences,,https://openreview.net/forum?id=XrMWUuEevr
Continuous-Discrete Convolution for Geometry-Sequence Modeling in Proteins,ICLR_2023,Poster,Biology,Representation_Learning,https://openreview.net/forum?id=P5Z-Zl9XJ7
Continuous PDE Dynamics Forecasting with Implicit Neural Representations,ICLR_2023,Poster,Math,,https://openreview.net/forum?id=B73niNjbPs
CROM: Continuous Reduced-Order Modeling of PDEs Using Implicit Neural Representations,ICLR_2023,Poster,Math,Neural_Representation,https://openreview.net/forum?id=FUORz1tG8Og
DaxBench: Benchmarking Deformable Object Manipulation with Differentiable Physics,ICLR_2023,Poster,Physics,,https://openreview.net/forum?id=1NAzMofMnWl
De Novo Molecular Generation via Connection-aware Motif Mining,ICLR_2023,Poster,Chemistry,,https://openreview.net/forum?id=Q_Jexl8-qDi
DexDeform: Dexterous Deformable Object Manipulation with Human Demonstrations and Differentiable Physics,ICLR_2023,Poster,Physics,Reinforcement_Learning,https://openreview.net/forum?id=LIV7-_7pYPl
"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",ICLR_2023,Poster,Chemistry,,https://openreview.net/forum?id=kKF8_K-mBbS
Diffusion Probabilistic Modeling of Protein Backbones in 3D for the motif-scaffolding problem,ICLR_2023,Poster,Biology,,https://openreview.net/forum?id=6TxBxqNME1Y
Disentanglement with Biological Constraints: A Theory of Functional Cell Types,ICLR_2023,Poster,Neurosciences,Reinforcement_Learning,https://openreview.net/forum?id=9Z_GfhZnGH
E3Bind: An End-to-End Equivariant Network for Protein-Ligand Docking,ICLR_2023,Poster,Biology,Geometric_Deep_Learning,https://openreview.net/forum?id=sO1QiAftQFv
Efficient approximation of neural population structure and correlations with probabilistic circuits,ICLR_2023,Poster,Neurosciences,,https://openreview.net/forum?id=XC_yGI-0j9
Enhancing the Inductive Biases of Graph Neural ODE for Modeling Physical Systems,ICLR_2023,Poster,Physics,Graph_Neural_Network ,https://openreview.net/forum?id=ATLEl_izD87
