,Title,Conference,Type,Application,MLTech,OpenReviewLink
,ACAT: Adversarial Counterfactual Attention for Classification and Detection in Medical Imaging,ICML_2023,Poster,Healthcare,,https://openreview.net/forum?id=yrVIUwRtzy
,A Group Symmetric Stochastic Differential Equation Model for Molecule Multi-modal Pretraining,ICML_2023,Poster,Chemistry,,https://openreview.net/forum?id=mPEVwu50th
,A Neural PDE Solver with Temporal Stencil Modeling,ICML_2023,Poster,Math,,https://proceedings.mlr.press/v202/liu23h.html
,Automated Search for Conjectures on Mathematical Constants using Analysis of Integer Sequences,ICML_2023,Poster,Math,,https://proceedings.mlr.press/v202/razon23a.html
,Chemically Transferable Generative Backmapping of Coarse-Grained Proteins,ICML_2023,Poster,Protein,Generative_Model,https://proceedings.mlr.press/v202/yang23e.html
,ClimaX: A foundation model for weather and climate,ICML_2023,Poster,Climate,,https://openreview.net/forum?id=TowCaiz7Ui
,Coarse-to-Fine: a Hierarchical Diffusion Model for Molecule Generation in 3D,ICML_2023,Poster,Chemistry,,https://openreview.net/forum?id=7haEvhb25X
,Conditional Graph Information Bottleneck for Molecular Relational Learning,ICML_2023,Poster,Chemistry,,https://openreview.net/forum?id=z8zcMmvKSB
,DecompDiff: Diffusion Models with Decomposed Priors for Structure-Based Drug Design,ICML_2023,Poster,Chemistry,,https://openreview.net/forum?id=j69E3-twUK
,Drug Discovery under Covariate Shift with Domain-Informed Prior Distributions over Functions,ICML_2023,Poster,Chemistry,,https://proceedings.mlr.press/v202/klarner23a.html
,Efficient Approximations of Complete Interatomic Potentials for Crystal Property Prediction,ICML_2023,Poster,Material,,https://openreview.net/forum?id=N9XDGqqVmf
,Efficient Learning of Mesh-Based Physical Simulation with Bi-Stride Multi-Scale Graph Neural Network,ICML_2023,Poster,Physics,Graph_Neural_Network,https://openreview.net/forum?id=FCTyqEuH14
,Enhancing Activity Prediction Models in Drug Discovery with the Ability to Understand Human Language,ICML_2023,Poster,Chemistry,Lanuage_Model,https://openreview.net/forum?id=-gRBqsmK-tm
,Evidential Interactive Learning for Medical Image Captioning,ICML_2023,Poster,Healthcare,Graph_Neural_Network,https://proceedings.mlr.press/v202/zheng23g.html
,Ewald-based Long-Range Message Passing for Molecular Graphs,ICML_2023,Poster,Chemistry,Graph_Neural_Network,https://openreview.net/forum?id=vd5JYAml0A
,Exploring Chemical Space with Score-based Out-of-distribution Generation,ICML_2023,Poster,Chemistry,Generative_Model,https://proceedings.mlr.press/v202/lee23f.html
,FAENet: Frame Averaging Equivariant GNN for Materials Modeling,ICML_2023,Poster,Material,Graph_Neural_Network,https://proceedings.mlr.press/v202/duval23a.html
,Fractional Denoising for 3D Molecular Pre-training,ICML_2023,Poster,Chemistry,,https://proceedings.mlr.press/v202/feng23c.html
,FusionRetro: Molecule Representation Fusion via In-Context Learning for Retrosynthetic Planning,ICML_2023,Poster,Chemistry,,https://openreview.net/forum?id=BTRKmm4HXxv
,Gaussian processes at the Helm(holtz): A more fluid model for ocean currents,ICML_2023,Poster,Environment,Gaussian_Process,https://openreview.net/forum?id=Qtix8HLmDx
,Gaussian Process Priors for Systems of Linear Partial Differential Equations with Constant Coefficients,ICML_2023,Poster,Math,Gaussian_Process,https://proceedings.mlr.press/v202/harkonen23a.html
,General Covariance Data Augmentation for Neural PDE Solvers,ICML_2023,Poster,Math,,https://proceedings.mlr.press/v202/fanaskov23a.html
,"Generating Novel, Designable, and Diverse Protein Structures by Equivariantly Diffusing Oriented Residue Clouds",ICML_2023,Poster,Biology,,https://proceedings.mlr.press/v202/lin23a.html
,Geometric Latent Diffusion Models for 3D Molecule Generation,ICML_2023,Poster,Chemistry,,https://openreview.net/forum?id=FYPt5267Pt
,Group Equivariant Fourier Neural Operators for Partial Differential Equations,ICML_2023,Poster,Math,Neural_Operater,https://openreview.net/forum?id=kgAOY5x4fi
