TItle,Conference,Type,Application,MLTech,OpenReviewLink
A 3D Generative Model for Structure-Based Drug Design,neurips_2021,Poster,Chemistry,Generative_Model,https://openreview.net/forum?id=yDwfVD_odRo
A Bayesian-Symbolic Approach to Reasoning and Learning in Intuitive Physics,neurips_2021,Poster,Physics,Optimization,https://openreview.net/forum?id=WN8ChCARq2
Auto-Encoding Knowledge Graph for Unsupervised Medical Report Generation,neurips_2021,Poster,Medical_Sciences,Graph_Neural_Network,https://openreview.net/forum?id=nIL7Q-p7-Sh
Breaking the Dilemma of Medical Image-to-image Translation,neurips_2021,Poster,Medical_Sciences,Generative_Model,https://openreview.net/forum?id=C0GmZH2RnVR
Bubblewrap: Online tiling and real-time flow prediction on neural manifolds,neurips_2021,Poster,Neurosciences,,https://openreview.net/forum?id=SjxC07jABZ4
Can fMRI reveal the representation of syntactic structure in the brain?,neurips_2021,Poster,Neurosciences,Graph_Neural_Network,https://openreview.net/forum?id=fCjd2bXG5iI
Closing the loop in medical decision support by understanding clinical decision-making: A case study on organ transplantation,neurips_2021,Poster,Medical_Sciences,Generative_Model,https://openreview.net/forum?id=gBxJ0R9Oua
Co-evolution Transformer for Protein Contact Prediction,neurips_2021,Poster,Biology,Transformer,https://openreview.net/forum?id=PcpExudEmDd
"Conditionally Parameterized, Discretization-Aware Neural Networks for Mesh-Based Modeling of Physical Systems",neurips_2021,Poster,Physics,Neural_Network,https://openreview.net/forum?id=0yMGEUQKd2D
Deep Molecular Representation Learning via Fusing Physical and Chemical Information,neurips_2021,Poster,Chemistry,Representation_Learning,https://openreview.net/forum?id=Uxi7X1EqywV
Directional Message Passing on Molecular Graphs via Synthetic Coordinates,neurips_2021,Poster,Chemistry,,https://openreview.net/forum?id=ZRu0_3azrCd
Distilling Meta Knowledge on Heterogeneous Graph for Illicit Drug Trafficker Detection on Social Media,neurips_2021,Poster,Social_Sciences,Representation_Learning,https://neurips.cc//virtual/2021/poster/26802
Exploiting Data Sparsity in Secure Cross-Platform Social Recommendation,neurips_2021,Poster,Social_Sciences,,https://openreview.net/forum?id=1Sn5TeUi1pb
Functionally Regionalized Knowledge Transfer for Low-resource Drug Discovery,neurips_2021,Poster,Chemistry,,https://openreview.net/forum?id=Dti5bw14YZF
